,residual,county_state
13199,-73.41672,"Meriwether County, Georgia"
13201,346.52686,"Miller County, Georgia"
13205,1244.9165,"Mitchell County, Georgia"
13207,75.33411,"Monroe County, Georgia"
13209,-97.779205,"Montgomery County, Georgia"
13211,-16.540222,"Morgan County, Georgia"
13213,-106.61821,"Murray County, Georgia"
13215,-44.711823,"Muscogee County, Georgia"
13217,-168.3224,"Newton County, Georgia"
13219,-225.8037,"Oconee County, Georgia"
13221,157.52272,"Oglethorpe County, Georgia"
13223,-78.233734,"Paulding County, Georgia"
13225,-111.613434,"Peach County, Georgia"
13227,47.814934,"Pickens County, Georgia"
13229,197.92107,"Pierce County, Georgia"
13231,75.131226,"Pike County, Georgia"
13233,-177.96043,"Polk County, Georgia"
13235,-195.00192,"Pulaski County, Georgia"
13237,-12.603516,"Putnam County, Georgia"
13239,-32.510864,"Quitman County, Georgia"
13241,7.4475174,"Rabun County, Georgia"
13243,1726.6566,"Randolph County, Georgia"
13245,-239.95462,"Richmond County, Georgia"
13247,-154.20221,"Rockdale County, Georgia"
13249,55.570587,"Schley County, Georgia"
13251,-279.87982,"Screven County, Georgia"
13253,74.30066,"Seminole County, Georgia"
13255,-16.804657,"Spalding County, Georgia"
13257,201.10252,"Stephens County, Georgia"
13259,-1838.7804,"Stewart County, Georgia"
13261,771.68207,"Sumter County, Georgia"
13263,106.39084,"Talbot County, Georgia"
13265,-316.58237,"Taliaferro County, Georgia"
13267,-570.5521,"Tattnall County, Georgia"
13269,-340.5584,"Taylor County, Georgia"
13271,-732.03485,"Telfair County, Georgia"
13273,1787.2059,"Terrell County, Georgia"
13275,277.49835,"Thomas County, Georgia"
13277,64.506775,"Tift County, Georgia"
13279,-113.741516,"Toombs County, Georgia"
13281,34.833755,"Towns County, Georgia"
13283,-316.44836,"Treutlen County, Georgia"
13285,-224.9899,"Troup County, Georgia"
13287,711.34875,"Turner County, Georgia"
13289,-263.1634,"Twiggs County, Georgia"
13291,123.151566,"Union County, Georgia"
13293,560.9039,"Upson County, Georgia"
13295,-105.1155,"Walker County, Georgia"
13297,-73.60303,"Walton County, Georgia"
13299,123.71884,"Ware County, Georgia"
13301,-410.90118,"Warren County, Georgia"
13303,-256.62582,"Washington County, Georgia"
13305,-267.2792,"Wayne County, Georgia"
13307,-41.60013,"Webster County, Georgia"
13309,-1994.877,"Wheeler County, Georgia"
13311,202.93533,"White County, Georgia"
13313,-374.6001,"Whitfield County, Georgia"
13315,544.1308,"Wilcox County, Georgia"
13317,-56.01062,"Wilkes County, Georgia"
13319,-752.98303,"Wilkinson County, Georgia"
13321,590.89026,"Worth County, Georgia"
15001,-28.78677,"Hawaii County, Hawaii"
15003,-453.30243,"Honolulu County, Hawaii"
15007,-82.99121,"Kauai County, Hawaii"
15009,-83.28465,"Maui County, Hawaii"
16001,-15.512772,"Ada County, Idaho"
16003,83.4018,"Adams County, Idaho"
16005,-76.85413,"Bannock County, Idaho"
16007,-5.1082673,"Bear Lake County, Idaho"
16009,-7.8444624,"Benewah County, Idaho"
16011,-141.45557,"Bingham County, Idaho"
16013,1989.9297,"Blaine County, Idaho"
16015,-15.819934,"Boise County, Idaho"
16017,-53.425392,"Bonner County, Idaho"
16019,-40.157955,"Bonneville County, Idaho"
16021,-56.3436,"Boundary County, Idaho"
16023,-21.78518,"Butte County, Idaho"
16025,142.22745,"Camas County, Idaho"
16027,-88.18378,"Canyon County, Idaho"
16029,-79.48679,"Caribou County, Idaho"
16031,-89.20042,"Cassia County, Idaho"
16033,-360.86066,"Clark County, Idaho"
16035,-27.912752,"Clearwater County, Idaho"
16037,69.68348,"Custer County, Idaho"
16039,-116.64108,"Elmore County, Idaho"
16041,-53.046474,"Franklin County, Idaho"
16043,-160.29984,"Fremont County, Idaho"
16045,16.291603,"Gem County, Idaho"
16047,-236.73445,"Gooding County, Idaho"
16049,-12.0672,"Idaho County, Idaho"
16051,-8.3963585,"Jefferson County, Idaho"
16053,61.208588,"Jerome County, Idaho"
16055,-8.472797,"Kootenai County, Idaho"
16057,6.0177565,"Latah County, Idaho"
16059,12.746721,"Lemhi County, Idaho"
16061,-10.443697,"Lewis County, Idaho"
16063,352.8826,"Lincoln County, Idaho"
16065,-318.0523,"Madison County, Idaho"
16067,-314.60693,"Minidoka County, Idaho"
16069,104.1986,"Nez Perce County, Idaho"
16071,4.9726787,"Oneida County, Idaho"
16073,-291.03726,"Owyhee County, Idaho"
16075,-75.45927,"Payette County, Idaho"
16077,-338.96686,"Power County, Idaho"
16079,-35.669804,"Shoshone County, Idaho"
16081,-205.19302,"Teton County, Idaho"
16083,212.17487,"Twin Falls County, Idaho"
16085,-17.728426,"Valley County, Idaho"
16087,122.549995,"Washington County, Idaho"
17001,-56.963554,"Adams County, Illinois"
17003,-183.88298,"Alexander County, Illinois"
17005,-68.2661,"Bond County, Illinois"
17007,159.45706,"Boone County, Illinois"
17009,-644.1642,"Brown County, Illinois"
17011,-115.097305,"Bureau County, Illinois"
17013,-96.868195,"Calhoun County, Illinois"
17015,20.404305,"Carroll County, Illinois"
17017,9.562256,"Cass County, Illinois"
17019,-29.989319,"Champaign County, Illinois"
17021,-51.543983,"Christian County, Illinois"
17023,-59.996243,"Clark County, Illinois"
17025,-50.66615,"Clay County, Illinois"
17027,233.36612,"Clinton County, Illinois"
17029,-145.75261,"Coles County, Illinois"
17031,127.35559,"Cook County, Illinois"
17033,-147.95786,"Crawford County, Illinois"
17035,-20.13861,"Cumberland County, Illinois"
17037,-83.69322,"DeKalb County, Illinois"
17039,-87.9304,"De Witt County, Illinois"
17041,-43.572594,"Douglas County, Illinois"
17043,-76.35968,"DuPage County, Illinois"
17045,-101.93144,"Edgar County, Illinois"
17047,-18.293495,"Edwards County, Illinois"
17049,-109.30555,"Effingham County, Illinois"
17051,-151.92813,"Fayette County, Illinois"
17053,-4.176941,"Ford County, Illinois"
17055,-69.24483,"Franklin County, Illinois"
17057,-220.14377,"Fulton County, Illinois"
17059,11.153688,"Gallatin County, Illinois"
17061,-143.4063,"Greene County, Illinois"
17063,-141.00409,"Grundy County, Illinois"
17065,-71.31275,"Hamilton County, Illinois"
17067,-26.382607,"Hancock County, Illinois"
17069,-23.817791,"Hardin County, Illinois"
17071,32.994064,"Henderson County, Illinois"
17073,-27.429504,"Henry County, Illinois"
17075,293.4123,"Iroquois County, Illinois"
17077,101.80499,"Jackson County, Illinois"
17079,426.09198,"Jasper County, Illinois"
17081,104.06387,"Jefferson County, Illinois"
17083,-53.92151,"Jersey County, Illinois"
17085,-23.289589,"Jo Daviess County, Illinois"
17087,-181.07404,"Johnson County, Illinois"
17089,182.7171,"Kane County, Illinois"
17091,327.4701,"Kankakee County, Illinois"
17093,15.640289,"Kendall County, Illinois"
17095,-53.777756,"Knox County, Illinois"
