fips,LND110210,POP060210
19059,380.61,43.8
19061,608.31,154
19063,395.88,26
19065,730.81,28.6
19067,500.63,32.6
19069,581.97,18.4
19071,511.15,14.6
19073,569.57,16.4
19075,501.86,24.8
19077,590.62,18.5
19079,576.75,27.2
19081,571.01,19.9
19083,569.31,30.8
19085,696.85,21.4
19087,434.33,46.4
19089,473.25,20.2
19091,434.35,22.6
19093,431.51,16.4
19095,586.46,27.9
19097,636.04,31.2
19099,730.42,50.4
19101,435.51,38.7
19103,614.04,213.1
19105,575.62,35.9
19107,579.18,18.1
19109,972.72,16
19111,517.52,69.3
19113,716.88,294.6
19115,401.77,28.3
19117,430.59,20.7
19119,587.65,19.7
19121,561.01,27.9
19123,570.86,39.2
19125,554.53,60.1
19127,572.5,71
19129,437.44,34.4
19131,469.13,23
19133,694.07,13.3
19135,433.72,18.4
19137,424.1,25.3
19139,437.47,97.7
19141,573.04,25.1
19143,398.68,16.2
19145,534.94,29.8
19147,563.84,16.7
19149,862.89,29
19151,577.24,12.7
19153,573.8,750.5
19155,950.28,98
19157,584.93,32.3
19159,535.5,9.6
19161,575.01,18
19163,458.09,360.7
19165,590.78,20.6
19167,768.33,43.9
19169,572.82,156.3
19171,721.01,24.6
19173,531.9,11.9
19175,423.65,29.6
19177,484.79,15.6
19179,431.83,82.5
19181,569.83,81.1
19183,568.84,38.2
19185,525.44,12.2
19187,715.62,53.1
19189,400.49,27.1
19191,689.87,30.5
19193,872.83,117.1
19195,400.12,19
19197,580.42,22.8
20000,81758.72,34.9
20001,500.3,26.7
20003,579.65,14
20005,431.17,39.3
20007,1134.07,4.3
20009,895.4,30.9
20011,635.47,23.9
20013,570.87,17.5
20015,1429.86,46.1
20017,773.06,3.6
20019,638.88,5.7
20021,587.57,36.8
20023,1019.89,2.7
20025,974.63,2.3
20027,645.3,13.2
20029,715.34,13.3
20031,626.95,13.7
20033,788.3,2.4
20035,1125.75,32.3
20037,589.76,66.4
20039,893.52,3.3
20041,847.07,23.3
20043,393.41,20.2
20045,455.87,243.1
20047,621.89,4.9
20049,644.27,4.5
20051,899.91,31.6
20053,715.85,9.1
20055,1301.97,28.2
20057,1098.27,30.8
20059,571.76,45.5
20061,384.62,89.3
20063,1071.67,2.5
20065,898.52,2.9
20067,574.8,13.6
20069,868.87,6.9
20071,778.45,1.6
20073,1143.3,5.9
20075,996.51,2.7
20077,801.27,7.5
20079,539.75,64.3
20081,577.52,7.4
20083,859.99,2.2
20085,656.22,20.5
20087,532.57,35.9
20089,909.78,3.4
20091,473.38,1149.6
20093,870.54,4.6
20095,863.36,9.1
20097,722.64,3.5
20099,645.3,33.5
20101,717.46,2.4
20103,462.83,164.7
20105,719.4,4.5
20107,594.06,16.3
20109,1072.99,2.6
20111,847.47,39.8
20113,898.27,32.5
20115,944.29,13.4
20117,900.18,11.2
20119,978.09,4.7
20121,575.66,57
20123,701.79,9.1
20125,643.53,55.1
20127,695.28,8.5
20129,729.73,4.4
20131,717.43,14.2
20133,571.47,28.9
20135,1074.75,2.9
20137,878.13,6.5
20139,705.52,23.1
20141,892.5,4.3
20143,720.73,8.5
20145,754.26,9.2
20147,885.88,6.4
20149,841.02,25.7
20151,735.05,13.1
20153,1069.42,2.4
20155,1255.35,51.4
20157,717.37,6.9
20159,726.24,13.9
20161,609.77,116.6
20163,890.53,5.8
20165,717.76,4.6
20167,886.26,7.9
20169,720.23,77.2
20171,717.54,6.9
20173,997.51,499.6
20175,639.5,35.9
20177,544.02,327.1
20179,895.96,2.9
20181,1056.07,5.7
20183,895.47,4.3
20185,792.05,5.6
20187,680.35,3.3
20189,727.29,7.9
20191,1181.94,20.4
20193,1074.69,7.4
20195,889.48,3.4
20197,794.3,8.9
20199,913.65,1.6
20201,894.76,6.5
20203,718.57,3.1
20205,570.42,16.5
20207,497.82,6.6
20209,151.6,1039
21000,39486.34,109.9
21001,405.28,46
21003,344.34,58
21005,201.83,106.1
21007,246.66,33.4
21009,487.54,86.5
21011,278.79,41.6
21013,359,79.9
21015,246.36,482.3
21017,289.72,69
21019,159.86,309.9
21021,180.17,157.8
21023,205.61,41.3
21025,492.41,28.2
21027,567.17,35.4
21029,297.02,250.2
21031,426.09,29.8
21033,344.79,37.7
21035,385.02,96.6
21037,151.31,597
21039,189.43,26.9
21041,128.57,84.1
21043,409.5,67.7
21045,444.23,35.9
21047,717.5,103.1
21049,252.46,141.1
21051,469.25,46.3
21053,197.25,52.1
21055,359.95,25.9
21057,305.18,22.5
21059,458.35,210.9
21061,302.88,40.2
21063,234.32,33.5
21065,253.08,58
21067,283.65,1042.8
21069,348.54,41.2
21071,393.35,100.3
21073,207.75,237.2
21075,205.5,33.2
21077,101.23,84.8
21079,230.08,73.5
21081,257.97,95.6
21083,551.74,67.3
21085,496.7,51.8
21087,286.03,39.4
21089,344.4,107.2
21091,187.65,45.6
21093,623.28,169.3
21095,465.83,62.9
21097,306.36,61.5
21099,412.09,44.2
21101,436.67,105.9
21103,286.28,53.9
21105,242.27,20.2
21107,542,86.6
21109,345.2,39.1
21111,380.42,1948.1
21113,172.12,282.3
21115,261.95,89.2
21117,160.25,996.7
21119,351.52,46.5
21121,386.3,82.5
21123,261.52,54.3
21125,433.95,135.6
21127,415.6,38.2
21129,208.86,37.8
21131,400.84,28.2
21133,337.91,72.6
21135,482.84,28.7
21137,334.1,74.1
21139,313.13,30.4
21141,552.13,48.6
21143,213.84,38.9
21145,248.74,263.6
